YEAR,SAMPLE,SERIAL,CBSERIAL,NUMPREC,HHWT,HHTYPE,CLUSTER,CPI99,STATEFIP,COUNTYFIP,PUMA,STRATA,GQ,OWNERSHP,OWNERSHPD,RENT,COSTELEC,COSTGAS,HHINCOME,VALUEH,ROOMS,BUILTYR2,UNITSSTR,BEDROOMS,FUELHEAT,VEHICLES,PERNUM,PERWT,NCHILD,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,CITIZEN,YRIMMIG,EDUC,EDUCD,DEGFIELD,DEGFIELDD,EMPSTAT,EMPSTATD,LABFORCE,OCC1990,CLASSWKR,CLASSWKRD,WKSWORK2,UHRSWORK,INCBUS00,INCEARN,SEI,MOVEDIN,QBPL,QINCWAGE
2017,201701,250395,2017000834943,2,79,2,2017002503951,0.679,9,15,1500,150009,1,1,13,0,3600,9993,118020,230000,7,6,3,4,5,3,1,78,1,1,101,1,74,4,1,100,0,0,9,900,0,0,11,114,23,2399,3,30,1,157,2,28,0,0,0,0,72,7,0,0
2017,201701,1062813,2017000532479,2,27,1,2017010628131,0.679,42,0,200,20042,1,1,13,0,840,960,35300,80000,4,1,3,3,2,2,1,27,0,1,101,2,73,1,1,100,0,0,42,4200,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,5,0,0
2017,201701,1235164,2017001001296,1,48,6,2017012351641,0.679,48,113,2302,230248,1,2,22,580,2400,1200,8550,9999999,5,3,3,3,2,9,1,48,0,1,101,2,55,6,1,100,0,0,48,4800,0,0,6,64,0,0,1,10,2,687,1,13,1,2,50,150,22,4,0,0
2017,201701,142278,2017000769070,3,50,1,2017001422781,0.679,6,1,106,10606,1,1,13,0,1080,1080,245900,700000,6,6,3,4,2,1,3,82,0,3,301,2,25,6,6,671,0,0,6,600,0,0,10,101,62,6203,1,10,2,243,2,22,3,35,0,17900,68,0,0,4
2017,201701,954089,2017000012970,5,15,1,2017009540891,0.679,39,0,200,20039,1,1,13,0,2400,1800,69800,100000,6,1,3,4,2,3,3,9,0,3,301,2,17,6,1,100,0,0,39,3900,0,0,5,50,0,0,3,30,1,468,1,13,2,21,1800,1800,26,0,0,0
2017,201701,173498,2017001093231,3,49,3,2017001734981,0.679,6,0,10100,1010006,1,1,12,0,2400,9992,92140,300000,7,5,3,5,2,3,3,97,0,4,401,1,62,1,1,100,0,0,6,600,0,0,8,81,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,1223408,2017000837706,4,44,3,2017012234081,0.679,48,121,2005,200548,1,1,13,0,1800,1680,64800,260000,5,4,3,4,2,2,3,121,0,9,901,2,21,6,2,200,0,0,48,4800,0,0,6,63,0,0,1,10,2,319,2,22,1,32,0,1900,44,0,0,0
2017,201701,498878,2017000064210,1,200,4,2017004988781,0.679,19,0,1400,140019,1,2,22,600,48,9997,7000,9999999,17,5,7,6,2,6,1,200,0,1,101,1,21,6,1,100,0,0,19,1900,0,0,7,71,0,0,1,10,2,889,2,22,4,28,0,7000,8,1,0,4
2017,201701,306694,2017000679458,2,26,3,2017003066941,0.679,12,0,9300,930012,1,1,13,0,2040,9993,33800,250000,9,4,3,5,4,2,2,86,0,7,701,1,65,4,1,100,0,0,12,1200,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,483935,2017000823260,1,95,6,2017004839351,0.679,18,0,1100,110018,1,1,12,0,960,3720,21900,90000,6,5,3,3,3,1,1,95,0,1,101,2,73,5,1,100,0,0,18,1800,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,7,0,4
2017,201701,55926,2017000155406,5,166,9,2017000559261,0.679,5,0,400,40005,1,1,13,0,2040,240,40600,80000,10,6,3,5,2,2,5,172,3,11,1114,2,34,4,1,100,0,0,5,500,0,0,6,64,0,0,3,30,1,436,2,23,4,21,0,2800,15,0,0,4
2017,201701,107348,2017000406382,5,121,3,2017001073481,0.679,6,37,3741,374106,1,2,22,1600,1800,600,71000,9999999,5,4,3,4,2,3,4,137,0,3,301,1,8,6,1,100,1,100,6,600,0,0,1,15,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,1363036,2017001155161,2,65,3,2017013630361,0.679,54,0,500,50054,1,1,13,0,840,360,9600,65000,6,15,3,4,2,1,1,65,0,1,101,2,47,4,1,100,0,0,45,4500,0,0,6,65,0,0,3,30,1,999,0,0,0,0,0,0,0,4,0,0
2017,201701,570265,2017000762918,2,65,1,2017005702651,0.679,23,0,800,80023,1,1,13,0,600,9993,127000,300000,4,9,3,4,5,2,1,65,0,1,101,2,52,1,1,100,0,0,25,2500,0,0,7,71,0,0,1,10,2,313,2,23,6,40,0,47000,61,4,0,0
2017,201701,1118285,2017000797951,4,393,1,2017011182851,0.679,45,0,1204,120445,1,1,13,0,2760,9992,186000,180000,7,16,3,4,4,3,3,214,0,3,301,2,0,6,2,200,0,0,45,4500,0,0,0,1,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,441208,2017000785999,3,200,3,2017004412081,0.679,17,0,2700,270017,1,1,13,0,2760,360,54000,130000,7,3,3,4,2,2,1,201,2,1,101,2,39,4,1,100,0,0,48,4800,0,0,8,81,0,0,1,10,2,313,2,22,6,50,0,47000,61,5,0,0
2017,201701,154048,2017000890695,4,105,1,2017001540481,0.679,6,1,101,10106,1,1,13,0,960,9993,240000,550000,3,6,10,3,1,2,2,115,2,2,201,2,43,1,6,610,0,0,521,52100,3,2005,11,116,61,6108,1,10,2,76,2,22,6,40,0,140000,80,0,0,0
2017,201701,1266236,2017001436035,1,16,0,2017012662361,0.679,48,453,5302,530248,4,0,0,0,0,0,9999999,9999999,0,0,0,0,0,0,1,16,0,12,1270,2,42,6,1,100,0,0,48,4800,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,0,4,0
2017,201701,831752,2017000249239,6,87,2,2017008317521,0.679,36,47,4014,401436,1,2,22,1500,2400,360,102000,9999999,3,1,7,2,1,9,5,89,0,7,701,1,19,6,6,610,0,0,521,52140,2,2010,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,4
2017,201701,633409,2017000074036,4,19,1,2017006334091,0.679,26,0,600,60026,1,1,12,0,1440,6360,60300,115000,12,9,3,5,3,2,2,10,2,2,201,1,37,1,1,100,0,0,26,2600,0,0,6,63,0,0,1,10,2,567,2,22,6,45,0,47600,19,0,0,0
2017,201701,919865,2017000544348,2,188,1,2017009198651,0.679,37,183,1202,120237,1,1,13,0,1800,2400,98500,245000,11,4,3,6,3,4,2,242,0,2,201,1,50,1,1,100,0,0,37,3700,0,0,7,71,0,0,1,10,2,64,2,28,6,40,0,60000,65,0,4,4
2017,201701,803591,2017001276574,3,112,1,2017008035911,0.679,34,35,1002,100234,1,1,13,0,1200,1320,145150,450000,10,4,3,5,2,2,2,153,1,2,201,2,30,1,1,100,0,0,34,3400,0,0,10,101,23,2304,1,10,2,156,2,27,4,50,0,55000,72,0,0,0
2017,201701,1171658,2017000113767,3,61,1,2017011716581,0.679,48,215,6807,680748,1,1,12,0,4320,9992,151000,250000,9,20,3,5,4,4,2,58,0,2,201,2,46,1,7,700,1,100,200,20000,2,1993,3,30,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,4
2017,201701,1216596,2017000743207,1,168,4,2017012165961,0.679,48,439,2507,250748,1,2,22,850,9997,9993,28800,9999999,4,6,8,3,4,2,1,169,0,1,101,1,37,6,1,100,1,100,200,20000,3,2008,4,40,0,0,1,10,2,567,1,13,6,40,28800,28800,19,3,0,0
2017,201701,223857,2017000394843,2,92,1,2017002238571,0.679,8,0,4101,410108,1,1,13,0,2160,960,110000,338000,7,20,3,6,4,2,2,107,0,2,201,2,44,1,1,100,0,0,34,3400,0,0,10,101,23,2300,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,564300,2017001313350,3,184,1,2017005643001,0.679,22,17,101,10122,1,1,12,0,4800,2400,456000,1934000,12,17,3,5,2,5,3,258,0,3,301,1,17,6,6,640,0,0,22,2200,0,0,5,50,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,1221235,2017000807169,7,63,1,2017012212351,0.679,48,29,5909,590948,1,1,13,0,4320,9993,223500,150000,6,6,3,5,4,5,2,59,2,2,201,2,71,1,1,100,0,0,56,5600,0,0,11,114,23,2300,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,383558,2017000950636,4,46,1,2017003835581,0.679,13,0,2800,280013,1,1,13,0,1440,9993,58100,100000,6,5,3,3,7,3,3,42,0,3,301,2,10,6,1,100,0,0,13,1300,0,0,2,22,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,4,0
2017,201701,60456,2017000669140,5,42,1,2017000604561,0.679,5,0,600,60005,1,1,13,0,2160,600,91000,170000,11,15,3,5,4,3,4,35,0,3,301,1,13,6,1,100,0,0,40,4000,0,0,2,25,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,1020281,2017001143257,3,129,1,2017010202811,0.679,40,0,1204,120440,1,1,12,0,840,1800,56000,70000,7,4,3,3,2,1,1,129,1,1,101,2,34,1,1,100,0,0,48,4800,0,0,7,71,0,0,1,10,2,678,2,22,6,40,0,36000,48,5,0,0
2017,201701,1303428,2017000671347,1,59,6,2017013034281,0.679,51,0,59302,5930251,1,1,13,0,840,120,276000,425000,5,10,10,3,2,1,1,60,0,1,101,2,54,4,1,100,0,0,12,1200,0,0,10,101,62,6203,1,10,2,13,2,22,6,55,0,226000,72,4,0,4
2017,201701,1320388,2017001386902,1,18,0,2017013203881,0.679,51,0,51010,5101051,4,0,0,0,0,0,9999999,9999999,0,0,0,0,0,0,1,18,0,12,1270,2,18,6,1,100,0,0,51,5100,0,0,6,63,0,0,3,30,1,444,2,23,1,72,0,1700,15,0,0,0
2017,201701,1329261,2017000220787,4,13,1,2017013292611,0.679,53,0,11900,1190053,1,1,12,0,960,9993,9600,20000,5,6,3,4,4,1,2,17,1,2,201,1,46,1,3,362,0,0,53,5300,0,0,4,40,0,0,3,30,1,436,2,22,0,0,0,0,15,0,0,4
2017,201701,312898,2017000784494,2,64,1,2017003128981,0.679,12,0,2700,270012,1,1,12,0,3600,9993,191830,500000,6,7,3,4,4,6,1,64,0,1,101,1,70,1,1,100,0,0,28,2800,0,0,11,114,62,6203,1,10,2,503,2,29,6,50,0,25000,49,6,0,0
2017,201701,487021,2017000977295,8,136,1,2017004870211,0.679,18,141,402,40218,1,1,13,0,2760,600,66000,270000,9,11,3,8,2,3,4,114,0,3,301,2,8,6,6,610,0,0,18,1800,0,0,1,15,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,68757,2017000005655,2,88,2,2017000687571,0.679,6,65,6511,651106,1,1,13,0,600,120,26500,160000,3,3,3,2,2,3,1,88,1,1,101,1,29,6,7,700,1,100,6,600,0,0,6,63,0,0,2,20,2,783,2,22,2,40,0,16000,24,3,0,0
2017,201701,1248270,2017001184713,2,84,1,2017012482701,0.679,48,0,4200,420048,1,1,13,0,1200,360,55000,110000,7,6,3,5,2,2,2,93,0,2,201,1,59,1,1,100,0,0,48,4800,0,0,6,64,0,0,1,10,2,22,2,22,6,75,0,55000,68,0,0,0
2017,201701,790111,2017000709965,5,244,1,2017007901111,0.679,34,25,1101,110134,1,1,13,0,5760,3000,542000,900000,11,1,3,5,2,5,2,231,2,2,201,2,57,1,1,100,0,0,34,3400,0,0,10,101,61,6107,1,10,2,95,2,22,6,40,0,104000,46,0,0,4
2017,201701,1200434,2017000517538,4,142,1,2017012004341,0.679,48,29,5905,590548,1,2,22,700,1680,9992,20000,9999999,6,3,3,3,2,3,2,134,2,2,201,2,40,1,1,100,1,100,200,20000,3,1999,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,302849,2017000615225,4,191,1,2017003028491,0.679,12,117,11704,1170412,1,1,13,0,2760,9993,202200,211000,7,7,3,5,4,2,2,152,2,2,201,1,41,1,1,100,0,0,9,900,0,0,7,71,0,0,1,10,2,22,2,22,6,45,0,175000,68,0,4,4
