Date,Open,High,Low,Close,Volume
02/14/2025,"136.48","139.25","135.50","138.85","195,479,594"
02/13/2025,"131.56","136.50","131.17","135.29","197,430,000"
02/12/2025,"130.02","132.24","129.08","131.14","160,278,594"
02/11/2025,"132.58","134.48","131.02","132.80","178,902,406"
02/10/2025,"130.09","135.00","129.96","133.57","216,989,109"
02/07/2025,"129.22","130.37","125.00","129.84","228,186,297"
02/06/2025,"127.42","128.77","125.21","128.68","251,483,594"
02/05/2025,"121.76","125.00","120.76","124.83","263,110,594"
02/04/2025,"116.96","121.20","116.70","118.65","256,550,000"
02/03/2025,"114.75","118.57","113.01","116.66","371,235,719"
01/31/2025,"123.78","127.85","119.19","120.07","390,372,906"
01/30/2025,"123.10","125.00","118.10","124.65","392,925,500"
01/29/2025,"126.50","126.89","120.05","123.70","467,120,594"
01/28/2025,"121.81","129.00","116.25","128.99","579,666,438"
01/27/2025,"124.80","128.40","116.70","118.42","818,830,938"
01/24/2025,"148.37","148.97","141.88","142.62","234,657,594"
01/23/2025,"145.05","147.23","143.72","147.22","155,915,500"
01/22/2025,"144.66","147.79","143.67","147.07","237,651,391"
01/21/2025,"139.16","141.83","137.09","140.83","197,748,984"
01/17/2025,"136.69","138.50","135.46","137.71","201,188,797"
01/16/2025,"138.64","138.75","133.49","133.57","209,235,594"
01/15/2025,"133.65","136.45","131.29","136.24","185,217,297"
01/14/2025,"136.05","136.38","130.05","131.76","195,590,500"
01/13/2025,"129.99","133.49","129.51","133.23","204,808,891"
01/10/2025,"137.45","139.92","134.22","135.91","207,602,500"
01/08/2025,"142.58","143.95","137.56","140.11","227,349,906"
01/07/2025,"153.03","153.13","140.01","140.14","351,782,219"
01/06/2025,"148.59","152.16","147.82","149.43","265,377,406"
01/03/2025,"140.01","144.90","139.73","144.47","229,322,500"
01/02/2025,"136.00","138.88","134.63","138.31","198,247,203"
