DATE,Price
9/1/09,156.9304506
10/1/09,163.7264383
11/1/09,177.6072814
12/1/09,171.1554987
1/1/10,167.8218628
2/1/10,160.1615604
3/1/10,156.464118
4/1/10,156.8254687
5/1/10,158.3284597
6/1/10,149.21269
7/1/10,182.7385022
8/1/10,219.8774417
9/1/10,240.4321828
10/1/10,234.5995632
11/1/10,241.8401333
12/1/10,274.4568182
1/1/11,295.9886068
2/1/11,317.6006514
3/1/11,285.3758111
4/1/11,307.2544084
5/1/11,307.1945503
6/1/11,285.29787
7/1/11,271.4622093
8/1/11,288.6883083
9/1/11,272.3405579
10/1/11,251.5891348
11/1/11,244.5378502
12/1/11,236.0596865
1/1/12,243.7023692
2/1/12,245.9804765
3/1/12,243.4935983
4/1/12,228.0863108
5/1/12,228.87964
6/1/12,241.9657935
7/1/12,310.7464381
8/1/12,315.5482191
9/1/12,316.6530516
10/1/12,318.4078349
11/1/12,319.4599362
12/1/12,303.0385561
1/1/13,288.2103225
2/1/13,271.6785887
3/1/13,263.341859
4/1/13,264.1702617
5/1/13,276.0451467
6/1/13,266.8508792
7/1/13,257.4728933
8/1/13,258.9259383
9/1/13,257.499616
10/1/13,278.1495567
11/1/13,259.7777233
12/1/13,246.1125787
1/1/14,229.9803594
2/1/14,242.7982816
3/1/14,275.612494
4/1/14,276.3823613
5/1/14,287.9128738
6/1/14,261.6499006
7/1/14,238.549905
8/1/14,229.1580011
9/1/14,211.1711014
10/1/14,210.7249283
11/1/14,215.9879182
12/1/14,234.8588367
1/1/15,213.0214075
2/1/15,201.7420688
3/1/15,202.6914267
4/1/15,195.9312283
5/1/15,193.2165712
6/1/15,199.8354417
7/1/15,199.21748
8/1/15,173.5175916
9/1/15,164.0692202
10/1/15,165.4514819
11/1/15,157.8043789
12/1/15,163.893455
1/1/16,164.6116267
2/1/16,159.283795
3/1/16,164.0604717
4/1/16,163.3868378
5/1/16,157.5603421
6/1/16,156.6950367
7/1/16,133.710203
8/1/16,127.899911
9/1/16,123.2487562
10/1/16,122.5585002
11/1/16,122.5497977
12/1/16,122.8463256
1/1/17,137.1457358
2/1/17,147.3614421
3/1/17,146.4314994
4/1/17,138.4075907
5/1/17,146.4402133
6/1/17,157.2461917
7/1/17,174.5324167
8/1/17,139.0508151
9/1/17,138.4133923
10/1/17,133.344516
11/1/17,138.0459557
12/1/17,147.1032695
1/1/18,156.3880441
2/1/18,172.2891191
3/1/18,180.9188159
4/1/18,180.3764094
5/1/18,192.70383
6/1/18,193.0792198
7/1/18,196.8060775
8/1/18,211.2920588
9/1/18,191.1444218
10/1/18,188.4616067
11/1/18,181.5523909
12/1/18,188.5358363
1/1/19,188.8449497
2/1/19,177.9167018
3/1/19,164.5066448
4/1/19,159.0300887
5/1/19,158.281695
6/1/19,174.6977632
7/1/19,163.8767533
8/1/19,149.363005
9/1/19,146.5704863
10/1/19,153.22109
11/1/19,157.5282643
12/1/19,165.2546408
1/1/20,178.2417773
2/1/20,172.2311028
3/1/20,170.8747517
4/1/20,179.7465179
5/1/20,174.9549688
6/1/20,169.7223367
7/1/20,170.5741217
8/1/20,174.182477
9/1/20,204.1373138
10/1/20,203.4263
11/1/20,210.7539365
12/1/20,217.3125429
1/1/21,237.9442498
2/1/21,240.8063881
3/1/21,229.8875493
4/1/21,239.9361433
5/1/21,278.4470054
6/1/21,238.7670267
7/1/21,243.628007
8/1/21,274.87603
9/1/21,269.7335073
10/1/21,294.0368183
11/1/21,317.4373548
12/1/21,324.0179006
1/1/22,326.0816698
2/1/22,347.5032275
3/1/22,387.6650137
4/1/22,406.0268863
5/1/22,444.1565678
6/1/22,397.6523199
7/1/22,321.9751277
8/1/22,323.0167688
9/1/22,346.3221811
10/1/22,353.7129072
11/1/22,344.3298607
12/1/22,323.6548381
1/1/23,320.0970451
2/1/23,332.4120234
3/1/23,309.4295999
4/1/23,312.8108244
5/1/23,299.4400063
6/1/23,282.2767453
7/1/23,278.617601
8/1/23,241.4138778
9/1/23,229.390711
10/1/23,216.4639391
11/1/23,216.000269
12/1/23,229.6334126
