YEAR,SAMPLE,SERIAL,CBSERIAL,NUMPREC,HHWT,HHTYPE,CLUSTER,CPI99,STATEFIP,COUNTYFIP,PUMA,STRATA,GQ,OWNERSHP,OWNERSHPD,RENT,COSTELEC,COSTGAS,HHINCOME,VALUEH,ROOMS,BUILTYR2,UNITSSTR,BEDROOMS,FUELHEAT,VEHICLES,PERNUM,PERWT,NCHILD,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,CITIZEN,YRIMMIG,EDUC,EDUCD,DEGFIELD,DEGFIELDD,EMPSTAT,EMPSTATD,LABFORCE,OCC1990,CLASSWKR,CLASSWKRD,WKSWORK2,UHRSWORK,INCBUS00,INCEARN,SEI,MOVEDIN,QBPL,QINCWAGE
2017,201701,267809,2017000033699,5,102,1,2017002678091,0.679,12,11,1101,110112,1,1,13,0,1200,9992,434300,635000,7,21,3,6,2,2,5,87,0,3,301,1,13,6,1,100,0,0,12,1200,0,0,2,25,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,1330886,2017000297136,2,136,1,2017013308861,0.679,53,33,11612,1161253,1,1,13,0,2520,1200,75400,350000,8,2,3,4,3,2,1,137,0,1,101,1,76,1,1,100,0,0,36,3600,0,0,10,101,33,3301,3,30,1,189,1,13,1,2,5000,5000,50,6,0,0
2017,201701,959922,2017000182259,4,14,1,2017009599221,0.679,39,23,4300,430039,1,2,22,650,960,1440,41400,9999999,6,9,3,3,2,4,1,14,2,1,101,2,38,1,1,100,0,0,39,3900,0,0,8,81,0,0,1,10,2,95,2,22,6,32,0,40600,46,3,0,0
2017,201701,489913,2017001127271,2,274,1,2017004899131,0.679,18,0,2500,250018,1,1,13,0,3000,1800,115000,115000,5,9,3,4,4,2,2,191,0,2,201,2,55,1,2,200,0,0,36,3600,0,0,11,114,52,5200,1,10,2,14,2,23,6,50,0,80000,72,0,0,0
2017,201701,38677,2017000724156,5,99,1,2017000386771,0.679,4,19,208,20804,1,2,22,750,2880,960,84100,9999999,5,4,3,4,4,1,1,99,3,1,101,2,57,1,1,100,1,100,200,20000,3,1992,3,30,0,0,1,10,2,436,2,22,6,30,0,14900,15,3,0,4
2017,201701,1121079,2017000987028,4,97,1,2017011210791,0.679,45,83,302,30245,1,1,13,0,360,480,109000,210000,10,7,3,5,2,2,2,120,2,2,201,2,38,1,1,100,0,0,455,45500,3,2014,11,114,55,5501,1,10,2,64,2,22,6,45,0,52000,65,0,0,0
2017,201701,1297174,2017000403723,5,27,1,2017012971741,0.679,51,0,51145,5114551,1,1,13,0,3720,9993,32200,120000,8,4,3,5,4,1,3,14,0,3,301,2,15,6,1,100,0,0,51,5100,0,0,3,30,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0
2017,201701,36995,2017000635328,1,78,6,2017000369951,0.679,4,13,117,11704,1,1,12,0,1200,9993,20400,800000,6,6,3,4,4,2,1,78,0,1,101,2,75,5,1,100,0,0,42,4200,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,7,0,0
2017,201701,212941,2017001492768,1,62,0,2017002129411,0.679,6,37,3731,373106,3,0,0,0,0,0,9999999,9999999,0,0,0,0,0,0,1,62,0,13,1301,2,90,5,1,100,4,426,300,30050,2,1967,7,71,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,459169,2017001284588,2,268,3,2017004591691,0.679,17,31,3413,341317,1,1,13,0,1560,840,95000,145000,7,3,3,4,2,2,1,268,1,1,101,2,42,6,2,200,0,0,17,1700,0,0,7,71,0,0,1,10,2,22,2,23,6,50,0,75000,68,5,0,0
